LOCATION,DATES,MIN . TEMPERATURE,MAX. TEMPERATURE,AVG. TEMPERATURE,AVG. Humidity(%),IMAGES,DIRECT_LINK,Vegetation_Density,Green_Density
GREATER NOIDA ,01-01-1985,4,24,13,53,https://drive.google.com/file/d/1jUGrc4-_WgvqtvfCEjv8lnJlH99kXGHh/view?usp=sharing,https://drive.google.com/uc?export=download&id=1jUGrc4-_WgvqtvfCEjv8lnJlH99kXGHh,,19.57092285
GREATER NOIDA ,31-12-1985,7,21,14,70,https://drive.google.com/file/d/1bsHKaKW-PoUlmhbfd5D59mgtZGzdi1fv/view?usp=sharing,https://drive.google.com/uc?export=download&id=1bsHKaKW-PoUlmhbfd5D59mgtZGzdi1fv,,13.4262085
GREATER NOIDA ,31-12-1986,7,21,14,70,https://drive.google.com/file/d/1FtouecyNNaPkzh_1UefLt7iA9t6BcIxn/view?usp=sharing,https://drive.google.com/uc?export=download&id=1FtouecyNNaPkzh_1UefLt7iA9t6BcIxn,,15.35797119
GREATER NOIDA ,31-12-1987,7,21,14,70,https://drive.google.com/file/d/1a6FBmezSyws_d8kv7bGb3XY1fdRwXO32/view?usp=sharing,https://drive.google.com/uc?export=download&id=1a6FBmezSyws_d8kv7bGb3XY1fdRwXO32,,15.34576416
GREATER NOIDA ,31-12-1988,7,21,14,70,https://drive.google.com/file/d/1HuRBz284q6sSlrRoqfD2f1wWW3D4nNwM/view?usp=sharing,https://drive.google.com/uc?export=download&id=1HuRBz284q6sSlrRoqfD2f1wWW3D4nNwM,,15.38238525
GREATER NOIDA ,31-12-1989,7,21,14,70,https://drive.google.com/file/d/1xmcEEvDqMbVSaIVznACT5KMgcygrTPo2/view?usp=sharing,https://drive.google.com/uc?export=download&id=1xmcEEvDqMbVSaIVznACT5KMgcygrTPo2,,15.6539917
GREATER NOIDA ,31-12-1990,7,21,14,70,https://drive.google.com/file/d/1CgzrIOR6JU8Cw5dPUj4d94FeqLe_Fe4B/view?usp=sharing,https://drive.google.com/uc?export=download&id=1CgzrIOR6JU8Cw5dPUj4d94FeqLe_Fe4B,,15.43884277
GREATER NOIDA ,31-12-1991,7,21,14,70,https://drive.google.com/file/d/1_1hHTUf7mGzzRkdwwctkKkXnliVYQlhM/view?usp=sharing,https://drive.google.com/uc?export=download&id=1_1hHTUf7mGzzRkdwwctkKkXnliVYQlhM,,14.56604004
GREATER NOIDA ,31-12-1992,7,21,14,70,https://drive.google.com/file/d/1Ylu6f4tfgomfRN8snCaKE_vpz7w9CnHS/view?usp=sharing,https://drive.google.com/uc?export=download&id=1Ylu6f4tfgomfRN8snCaKE_vpz7w9CnHS,,26.2802124
GREATER NOIDA ,31-12-1993,7,21,14,70,https://drive.google.com/file/d/1si4MQu8KHLoGWh4ktFNq1HpIIJ4h79xd/view?usp=sharing,https://drive.google.com/uc?export=download&id=1si4MQu8KHLoGWh4ktFNq1HpIIJ4h79xd,,22.17559814
GREATER NOIDA ,31-12-1994,7,21,14,70,https://drive.google.com/file/d/1si4MQu8KHLoGWh4ktFNq1HpIIJ4h79xd/view?usp=sharing,https://drive.google.com/uc?export=download&id=1si4MQu8KHLoGWh4ktFNq1HpIIJ4h79xd,,22.17559814
GREATER NOIDA ,31-12-1995,7,21,14,70,https://drive.google.com/file/d/1uVsqqFdHRMnmlGPVP-mmDnptXPIqqkVD/view?usp=sharing,https://drive.google.com/uc?export=download&id=1uVsqqFdHRMnmlGPVP-mmDnptXPIqqkVD,,15.13824463
GREATER NOIDA ,31-12-1996,7,21,14,70,https://drive.google.com/file/d/1T_t2j3NM7LeWpEkBDied7ZM46LcfpidV/view?usp=sharing,https://drive.google.com/uc?export=download&id=1T_t2j3NM7LeWpEkBDied7ZM46LcfpidV,,25.18310547
GREATER NOIDA ,31-12-1997,7,21,14,70,https://drive.google.com/file/d/1nzvZC4Dz-vd_LgIItXkot-wCI85eECzJ/view?usp=sharing,https://drive.google.com/uc?export=download&id=1nzvZC4Dz-vd_LgIItXkot-wCI85eECzJ,,33.35571289
GREATER NOIDA ,31-12-1998,7,21,14,70,https://drive.google.com/file/d/1rLZMWmIJ0m8mJViMFsiIhzZ4-kDS3BXC/view?usp=sharing,https://drive.google.com/uc?export=download&id=1rLZMWmIJ0m8mJViMFsiIhzZ4-kDS3BXC,,37.88146973
GREATER NOIDA ,31-12-1999,7,21,14,70,https://drive.google.com/file/d/1tOyUuC6MgYLpCMozJJ5S-9fZteYofCC0/view?usp=sharing,https://drive.google.com/uc?export=download&id=1tOyUuC6MgYLpCMozJJ5S-9fZteYofCC0,,33.35113525
GREATER NOIDA ,31-12-2000,9,22,15.5,69,https://drive.google.com/file/d/1xdjY0QIE0wxyH-626ydPxsn-hgmd7sX4/view?usp=sharing,https://drive.google.com/uc?export=download&id=1xdjY0QIE0wxyH-626ydPxsn-hgmd7sX4,,32.55615234
GREATER NOIDA ,31-12-2001,9,22,15.5,69,https://drive.google.com/file/d/1U9cTn0aGqE-JCwfvUlq-CXpWCFVqzdaf/view?usp=sharing,https://drive.google.com/uc?export=download&id=1U9cTn0aGqE-JCwfvUlq-CXpWCFVqzdaf,,28.35845947
